version,modification_time,release_number,release_type,image_name,release_date
11.5.10-0.0.13,2019-08-13T02:57:41Z,,,,
11.5.1.0.0.110,2014-03-12T22:46:18Z,,,,
11.5.2.0.0.141,2015-01-30T23:10:32Z,,,,
11.5.3.0.0.163,2015-04-22T23:53:50Z,,,,
11.5.4.0.0.256,2016-01-16T01:40:12Z,,,,
11.5.5.0.0.51,2017-10-02T18:49:26Z,,,,
11.5.6-0.0.3,2018-04-06T04:44:02Z,,,,
11.5.7-0.0.1,2018-07-12T18:50:27Z,,,,
11.5.8-0.0.9,2018-12-19T21:15:20Z,,,,
11.5.9-0.0.4,2019-02-27T22:07:00Z,,,,
11.6.0.0.0.401,2014-08-12T03:30:36Z,,,,
11.6.1.0.0.317,2016-05-04T23:42:15Z,,,,
11.6.2.0.0.495,2017-10-18T01:23:42Z,,,,
11.6.3-0.0.3,2017-12-20T23:05:00Z,,,,
11.6.3.1-0.0.7,2018-03-31T14:23:26Z,,,,
11.6.3.2-0.0.2,2018-05-24T02:16:19Z,,,,
11.6.3.3-0.0.3,2018-10-02T19:45:32Z,,,,
11.6.3.4-0.0.5,2018-12-13T22:48:02Z,,,,
11.6.4-0.0.4,2019-03-12T23:05:23Z,,,,
11.6.5-0.0.15,2019-08-13T17:28:50Z,,,,
11.6.5.1-0.0.3,2019-09-25T18:04:32Z,,,,
11.6.5.2-0.0.10,2020-06-05T21:53:20Z,,,,
11.6.5.3-0.0.2,2021-03-02T10:48:50Z,,,,
12.0.0.0.0.606,2015-08-21T19:35:18Z,12.0.0,Major,BIGIP-12.0.0.0.0.606,09/02/2015
12.1.0.0.0.1434,2016-05-11T17:45:17Z,12.1.0,Minor / LTS,BIGIP-12.1.0.0.0.1434,05/18/2016
12.1.1.0.0.184,2016-08-11T23:59:37Z,12.1.1,Maintenance,BIGIP-12.1.1.0.0.184,08/23/2016
12.1.2.0.0.249,2016-11-30T23:29:15Z,12.1.2,Maintenance,BIGIP-12.1.2.0.0.249,12/14/2016
12.1.3.0.0.378,2017-11-28T00:28:31Z,12.1.3,Maintenance,BIGIP-12.1.3.0.0.378,12/18/2017
12.1.3.1-0.0.9,2017-12-16T05:49:49Z,12.1.3.1,Point,BIGIP-12.1.3.1-0.0.9,02/05/2018
12.1.3.2-0.0.4,2018-02-21T19:10:24Z,12.1.3.2,Point,BIGIP-12.1.3.2-0.0.4,02/21/2018
12.1.3.3-0.0.1,2018-03-09T22:31:29Z,12.1.3.3,Point,BIGIP-12.1.3.3-0.0.1,03/20/2018
12.1.3.4-0.0.2,2018-04-10T21:24:59Z,12.1.3.4,Point,BIGIP-12.1.3.4-0.0.2,04/17/2018
12.1.3.5-0.0.10,2018-05-22T00:32:29Z,12.1.3.5,Point,BIGIP-12.1.3.5-0.0.10,06/11/2018
12.1.3.6-0.0.3,2018-07-11T14:14:56Z,12.1.3.6,Point,BIGIP-12.1.3.6-0.0.3,07/24/2018
12.1.3.7-0.0.2,2018-09-11T17:00:00Z,12.1.3.7,Point,BIGIP-12.1.3.7-0.0.2,09/11/2018
12.1.4-0.0.8,2018-12-12T23:11:28Z,12.1.4,Maintenance,BIGIP-12.1.4-0.0.8,12/20/2018
12.1.4.1-0.0.6,2019-04-02T23:15:48Z,12.1.4.1,Point,BIGIP-12.1.4.1-0.0.6,4/9/2019
12.1.5-0.0.6,2019-08-02T21:48:29Z,12.1.5,Maintenance,BIGIP-12.1.5-0.0.6,8/8/2019
